:START_ID,:END_ID,relation_cn,:TYPE
EVT_NATURAL_DISASTER,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_PRODUCTION_ACCIDENT,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_PUBLIC_HEALTH,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_SOCIAL_SECURITY,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_ENVIRONMENT,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_EMERGENCY_MATERIAL_TRANSPORT,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_FLOOD_DROUGHT,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_METEOROLOGICAL,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_EARTHQUAKE,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_GEOLOGICAL,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_MARINE,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_BIOLOGICAL,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_FOREST_GRASS_FIRE,EVT_NATURAL_DISASTER,引发,CAUSES
EVT_TRAFFIC_ACCIDENT,EVT_PRODUCTION_ACCIDENT,引发,CAUSES
EVT_CONSTRUCTION_ACCIDENT,EVT_PRODUCTION_ACCIDENT,引发,CAUSES
EVT_HAZMAT_ACCIDENT,EVT_PRODUCTION_ACCIDENT,引发,CAUSES
EVT_INFECTIOUS_DISEASE,EVT_PUBLIC_HEALTH,引发,CAUSES
EVT_UNKNOWN_DISEASE,EVT_PUBLIC_HEALTH,引发,CAUSES
EVT_FOOD_OCCUPATIONAL,EVT_PUBLIC_HEALTH,引发,CAUSES
EVT_ANIMAL_EPIDEMIC,EVT_PUBLIC_HEALTH,引发,CAUSES
EVT_TERROR_ATTACK,EVT_SOCIAL_SECURITY,引发,CAUSES
EVT_ECONOMIC_SECURITY,EVT_SOCIAL_SECURITY,引发,CAUSES
EVT_FOREIGN_RELATED,EVT_SOCIAL_SECURITY,引发,CAUSES
EVT_FLOOD,EVT_FLOOD_DROUGHT,引发,CAUSES
EVT_DAM_BREACH,EVT_FLOOD_DROUGHT,引发,CAUSES
EVT_TSUNAMI,EVT_MARINE,引发,CAUSES
EVT_STORM_SURGE,EVT_MARINE,引发,CAUSES
EVT_STRONG_EARTHQUAKE,EVT_EARTHQUAKE,引发,CAUSES
EVT_SUDDEN_GEOLOGICAL,EVT_GEOLOGICAL,引发,CAUSES
EVT_TYPHOON,EVT_METEOROLOGICAL,引发,CAUSES
EVT_RAINSTORM,EVT_METEOROLOGICAL,引发,CAUSES
EVT_SNOW_DISASTER,EVT_METEOROLOGICAL,引发,CAUSES
EVT_HEAVY_FOG,EVT_METEOROLOGICAL,引发,CAUSES
EVT_ROAD_ICE,EVT_METEOROLOGICAL,引发,CAUSES
EVT_DUST_STORM,EVT_METEOROLOGICAL,引发,CAUSES
EVT_HAZMAT_LEAK,EVT_ENVIRONMENT,引发,CAUSES
EVT_MAJOR_TRAFFIC_ACCIDENT,EVT_TRAFFIC_ACCIDENT,引发,CAUSES
EVT_ROAD_DAMAGE,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_ROAD_INTERRUPTION,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_ROAD_BLOCKAGE,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_HUB_INTERRUPTION,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_PASSENGER_STRANDING,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_VEHICLE_BACKLOG,EVT_ROAD_EMERGENCY,引发,CAUSES
EVT_SUPPLY_SHORTAGE,EVT_EMERGENCY_MATERIAL_TRANSPORT,引发,CAUSES
EVT_PRICE_SURGE,EVT_EMERGENCY_MATERIAL_TRANSPORT,引发,CAUSES
LVL_I,WARN_I,触发,TRIGGERS
LVL_II,WARN_II,触发,TRIGGERS
LVL_III,WARN_III,触发,TRIGGERS
LVL_IV,WARN_IV,触发,TRIGGERS
LVL_I,RESP_I,触发,TRIGGERS
LVL_II,RESP_II,触发,TRIGGERS
LVL_III,RESP_III,触发,TRIGGERS
LVL_IV,RESP_IV,触发,TRIGGERS
EVT_ROAD_EMERGENCY,MEA_MOBILIZE_FOR_RESPONSE,触发,TRIGGERS
EVT_ROAD_EMERGENCY,MEA_CONTROL_SITUATION,触发,TRIGGERS
EVT_ROAD_EMERGENCY,MEA_NETWORK_DIVERSION,触发,TRIGGERS
EVT_ROAD_EMERGENCY,MEA_TRANSPORT_SUPPORT,触发,TRIGGERS
EVT_ROAD_EMERGENCY,MEA_REPAIR_AND_RECOVER,触发,TRIGGERS
EVT_FOREIGN_RELATED,MEA_PUBLICITY,触发,TRIGGERS
WARN_I,MEA_MONITOR_AND_REPORT,触发,TRIGGERS
WARN_I,MEA_PREPARE_RESPONSE,触发,TRIGGERS
WARN_I,MEA_PREPARE_REQUISITION,触发,TRIGGERS
WARN_I,MEA_PROPOSE_RESOURCE_REQUISITION,触发,TRIGGERS
WARN_I,MEA_SEND_FILES,触发,TRIGGERS
WARN_I,MEA_START_WARNING_PROCEDURE,触发,TRIGGERS
RESP_I,MEA_START_RESP_I,触发,TRIGGERS
RESP_I,MEA_START_24H_DUTY,触发,TRIGGERS
RESP_I,MEA_HOLD_VIDEO_MEETING,触发,TRIGGERS
RESP_I,MEA_FORM_FIELD_TEAM,触发,TRIGGERS
RESP_I,MEA_REPAIR_AND_RECOVER,触发,TRIGGERS
RESP_I,MEA_TRANSPORT_SUPPORT,触发,TRIGGERS
RESP_I,MEA_COMMUNICATION_SUPPORT,触发,TRIGGERS
RESP_I,MEA_PREPARE_PRESS,触发,TRIGGERS
RESP_I,MEA_STAT_DAMAGE,触发,TRIGGERS
RESP_I,MEA_PLAN_RECONSTRUCTION,触发,TRIGGERS
RESP_I,MEA_IMPLEMENT_RECONSTRUCTION,触发,TRIGGERS
RESP_I,MEA_EVALUATE_RESPONSE,触发,TRIGGERS
RESP_I,MEA_ANNOUNCE_RESPONSE_END,触发,TRIGGERS
RESP_I,MEA_DAILY_REPORT,触发,TRIGGERS
RESP_I,MEA_CALL_NATIONAL_STOCK,触发,TRIGGERS
WARN_I,ORG_MOT,实施主体,IMPLEMENTED_BY
WARN_II,ORG_PROVINCIAL_TRANSPORT,实施主体,IMPLEMENTED_BY
WARN_III,ORG_MUNICIPAL_TRANSPORT,实施主体,IMPLEMENTED_BY
WARN_IV,ORG_COUNTY_TRANSPORT,实施主体,IMPLEMENTED_BY
RESP_I,ORG_MOT,实施主体,IMPLEMENTED_BY
RESP_II,ORG_PROVINCIAL_TRANSPORT,实施主体,IMPLEMENTED_BY
RESP_III,ORG_MUNICIPAL_TRANSPORT,实施主体,IMPLEMENTED_BY
RESP_IV,ORG_COUNTY_TRANSPORT,实施主体,IMPLEMENTED_BY
MEA_START_WARN_I,ORG_LEAD_GROUP,实施主体,IMPLEMENTED_BY
MEA_END_WARN_I,ORG_LEAD_GROUP,实施主体,IMPLEMENTED_BY
MEA_START_RESP_I,ORG_LEAD_GROUP,实施主体,IMPLEMENTED_BY
MEA_END_RESP_I,ORG_LEAD_GROUP,实施主体,IMPLEMENTED_BY
MEA_ISSUE_COMMAND,ORG_LEAD_GROUP,实施主体,IMPLEMENTED_BY
MEA_FORM_FIELD_TEAM,ORG_LEAD_GROUP,实施主体,IMPLEMENTED_BY
MEA_MAKE_JOINT_PLAN,ORG_LEAD_GROUP,实施主体,IMPLEMENTED_BY
MEA_REPORT_FILES,ORG_COORDINATION_GROUP,实施主体,IMPLEMENTED_BY
MEA_REPAIR_AND_RECOVER,ORG_ROAD_CLEARANCE_GROUP,实施主体,IMPLEMENTED_BY
MEA_DISPATCH_CROSS_PROVINCE_TEAM,ORG_ROAD_CLEARANCE_GROUP,实施主体,IMPLEMENTED_BY
MEA_ALLOCATE_EQUIPMENT,ORG_ROAD_CLEARANCE_GROUP,实施主体,IMPLEMENTED_BY
MEA_PLAN_DETOUR,ORG_ROAD_CLEARANCE_GROUP,实施主体,IMPLEMENTED_BY
MEA_IMPLEMENT_DETOUR,ORG_ROAD_CLEARANCE_GROUP,实施主体,IMPLEMENTED_BY
MEA_COORDINATE_SOCIAL_SUPPORT,ORG_ROAD_CLEARANCE_GROUP,实施主体,IMPLEMENTED_BY
MEA_PLAN_RESCUE_SUBSIDY,ORG_ROAD_CLEARANCE_GROUP,实施主体,IMPLEMENTED_BY
MEA_TRANSPORT_SUPPORT,ORG_TRANSPORT_SUPPORT_GROUP,实施主体,IMPLEMENTED_BY
MEA_COORDINATE_INTERMODAL,ORG_TRANSPORT_SUPPORT_GROUP,实施主体,IMPLEMENTED_BY
MEA_PLAN_TRANSPORT_COMPENSATION,ORG_TRANSPORT_SUPPORT_GROUP,实施主体,IMPLEMENTED_BY
MEA_COMMUNICATION_SUPPORT,ORG_COMM_GROUP,实施主体,IMPLEMENTED_BY
MEA_VIDEO_COMM_SUPPORT,ORG_COMM_GROUP,实施主体,IMPLEMENTED_BY
MEA_PREPARE_PRESS,ORG_NEWS_GROUP,实施主体,IMPLEMENTED_BY
MEA_LOGISTICS_SUPPORT,ORG_LOGISTICS_GROUP,实施主体,IMPLEMENTED_BY
MEA_STAT_DAMAGE,ORG_RECONSTRUCTION_GROUP,实施主体,IMPLEMENTED_BY
MEA_PLAN_RECONSTRUCTION,ORG_RECONSTRUCTION_GROUP,实施主体,IMPLEMENTED_BY
MEA_IMPLEMENT_RECONSTRUCTION,ORG_RECONSTRUCTION_GROUP,实施主体,IMPLEMENTED_BY
MEA_WRITE_CHRONICLE,ORG_EVALUATION_GROUP,实施主体,IMPLEMENTED_BY
MEA_EVALUATE_RESPONSE,ORG_EVALUATION_GROUP,实施主体,IMPLEMENTED_BY
MEA_MONITOR_AND_REPORT,ORG_ROUTE_CENTER,实施主体,IMPLEMENTED_BY
MEA_TRAINING,ORG_ROUTE_CENTER,实施主体,IMPLEMENTED_BY
MEA_DRILL,ORG_ROUTE_CENTER,实施主体,IMPLEMENTED_BY
MEA_PROPOSE_RESOURCE_REQUISITION,ORG_ROAD_CLEARANCE_GROUP,实施主体,IMPLEMENTED_BY
MEA_PROPOSE_RESOURCE_REQUISITION,ORG_TRANSPORT_SUPPORT_GROUP,实施主体,IMPLEMENTED_BY
MEA_CALL_NATIONAL_STOCK,ORG_ROUTE_CENTER,实施主体,IMPLEMENTED_BY
MEA_NETWORK_DIVERSION,ORG_ROUTE_CENTER,实施主体,IMPLEMENTED_BY
MEA_TECH_SUPPORT,ORG_FIELD_TEAM,实施主体,IMPLEMENTED_BY
MEA_ASSIST_ACCIDENT_RESPONSE,ORG_FIELD_TEAM,实施主体,IMPLEMENTED_BY
MEA_START_24H_DUTY,ORG_ROUTE_CENTER,实施主体,IMPLEMENTED_BY
MEA_START_24H_DUTY,ORG_WORK_GROUP,实施主体,IMPLEMENTED_BY
MEA_RELEASE_EVENT_INFO,ORG_ROUTE_CENTER,实施主体,IMPLEMENTED_BY
MEA_ANNOUNCE_RESPONSE_END,ORG_NEWS_GROUP,实施主体,IMPLEMENTED_BY
MEA_TRANSPORT_RELIEF,ORG_CIVIL_AFFAIRS,实施主体,IMPLEMENTED_BY
MEA_TRANSPORT_DAILY_SUPPLIES,ORG_CIVIL_AFFAIRS,实施主体,IMPLEMENTED_BY
MEA_TRANSPORT_DONATIONS,ORG_CIVIL_AFFAIRS,实施主体,IMPLEMENTED_BY
MEA_BUILD_MUTUAL_AID,ORG_MOT,实施主体,IMPLEMENTED_BY
MEA_PUBLICITY,ORG_MOT,实施主体,IMPLEMENTED_BY
MEA_PUBLICITY,ORG_MFA,实施主体,IMPLEMENTED_BY
MEA_PROPOSE_RESOURCE_REQUISITION,RES_CROSS_PROVINCE_TEAM,调用,REQUIRES
MEA_PROPOSE_RESOURCE_REQUISITION,RES_EMERGENCY_VEHICLE,调用,REQUIRES
MEA_CALL_NATIONAL_STOCK,RES_NATIONAL_STOCK,调用,REQUIRES
MEA_DISPATCH_CROSS_PROVINCE_TEAM,RES_CROSS_PROVINCE_TEAM,调用,REQUIRES
MEA_ALLOCATE_EQUIPMENT,RES_EQUIPMENT_SUPPLIES,调用,REQUIRES
MEA_REQUISITION_RESOURCE,RES_PERSONNEL,调用,REQUIRES
MEA_REQUISITION_RESOURCE,RES_VEHICLES,调用,REQUIRES
MEA_REQUISITION_RESOURCE,RES_EQUIPMENT,调用,REQUIRES
MEA_REQUISITION_RESOURCE,RES_SUPPLIES,调用,REQUIRES
MEA_TRANSPORT_RELIEF,RES_RELIEF_SUPPLIES,调用,REQUIRES
MEA_TRANSPORT_DAILY_SUPPLIES,RES_DAILY_SUPPLIES,调用,REQUIRES
MEA_TRANSPORT_DONATIONS,RES_DONATIONS,调用,REQUIRES
MEA_TRANSPORT_SUPPORT,RES_TRANSPORT_RESERVE,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_ASPHALT,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_GRAVEL,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_SAND_STONE,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_CEMENT,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_STEEL_BRIDGE,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_STEEL_PLATE,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_TIMBER,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_WOVEN_BAG,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_SNOW_AGENT,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_ANTISKID,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_OIL_ABSORBENT,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_EXCAVATOR,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_LOADER,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_GRADER,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_SPREADER,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_CRANE,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_SNOWPLOW,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_FLATBED,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_FUEL_TRUCK,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_GENERATOR,调用,REQUIRES
MEA_REPAIR_AND_RECOVER,RES_PUMP,调用,REQUIRES
MEA_ASSIST_ACCIDENT_RESPONSE,RES_CONVENIENCE_FOOD,调用,REQUIRES
MEA_ASSIST_ACCIDENT_RESPONSE,RES_WATER,调用,REQUIRES
MEA_ASSIST_ACCIDENT_RESPONSE,RES_PROTECTIVE_GEAR,调用,REQUIRES
MEA_ASSIST_ACCIDENT_RESPONSE,RES_MEDICINE,调用,REQUIRES
MEA_ASSIST_ACCIDENT_RESPONSE,RES_LIGHTING,调用,REQUIRES
MEA_ASSIST_ACCIDENT_RESPONSE,RES_TENT,调用,REQUIRES
MEA_ASSIST_ACCIDENT_RESPONSE,RES_FUEL,调用,REQUIRES
MEA_ASSIST_ACCIDENT_RESPONSE,RES_SAFETY_SIGN,调用,REQUIRES
MEA_ASSIST_ACCIDENT_RESPONSE,RES_TOOLKIT,调用,REQUIRES
MEA_ASSIST_ACCIDENT_RESPONSE,RES_RESCUE_VEHICLE,调用,REQUIRES
