Action,Relation,Resource
执行交通管制,requires,交警
事故勘查定责,requires,交警
车辆分流引导,requires,交警
违法行为查处,requires,交警
协助维护现场秩序,requires,辅警
摆放交通设施,requires,辅警
引导群众疏散,requires,辅警
伤员现场急救,requires,医护人员
伤情评估,requires,医护人员
转运救治,requires,医护人员
破拆救援被困人员,requires,消防救援人员
扑灭车辆火灾,requires,消防救援人员
处置危化品泄漏,requires,消防救援人员
统筹现场处置,requires,应急管理人员
协调多部门联动,requires,应急管理人员
发布应急通知,requires,应急管理人员
检测危化品泄漏对空气/水质的污染,requires,生态环境监测人员
跟踪环境指标,requires,生态环境监测人员
修复事故导致的路面破损,requires,道路养护人员
清理现场污染物,requires,道路养护人员
事故中伤亡情况鉴定处理,requires,法医
拖移事故故障车辆,consumes,清障拖车
清理路面障碍物,consumes,清障拖车
转运受伤人员,consumes,救护车
现场紧急医疗支援,consumes,救护车
扑救车辆火灾,consumes,消防车
稀释危化品泄漏物,consumes,消防车
提供高压水源,consumes,消防车
转移事故中未泄漏的危化品,consumes,危化品转运车
避免二次污染,requires,危化品转运车
快速抵达现场,consumes,交警执法车
巡逻管控,consumes,交警执法车
运送执法装备,consumes,交警执法车
抢修受损道路设施,consumes,工程抢险车
清理路面残骸,consumes,工程抢险车
现场检测空气质量,consumes,环境监测车
检测水质污染情况,consumes,环境监测车
划定事故警戒区域,requires,交通锥桶
引导车辆绕行路线,requires,交通锥桶
发布交通管制信息,requires,可变情报板
发布事故预警,requires,可变情报板
发布绕行提示,requires,可变情报板
临时调整信号配时,requires,交通信号灯
疏导分流车辆,requires,交通信号灯
隔离事故现场,requires,警戒带/隔离护栏
防止无关人员进入,requires,警戒带/隔离护栏
救援被困人员,requires,破拆工具（液压钳、切割机）
拆解变形车辆,requires,破拆工具（液压钳、切割机）
处置危化品泄漏时保护工作人员,requires,防化服/防毒面具
拦截危化品泄漏液体,consumes,沙袋/围堰材料
防止危化品泄漏液体扩散,consumes,沙袋/围堰材料
稀释危化品,consumes,喷雾水枪/泡沫枪
扑灭小型车辆火灾,consumes,喷雾水枪/泡沫枪
夜间标识事故现场,requires,警示灯/反光标识
恶劣天气下标识事故现场,requires,警示灯/反光标识
提醒过往车辆,requires,警示灯/反光标识