run_id,run_time,sample_id,group_id,retrieval_mode,single_agent_retrieval_mode,agent_mode,effective_agent_mode,route_target,route_difficulty,route_confidence,route_used_llm,route_fallback_to_g5,enable_review,enable_revision,model_name,latency_ms,input_tokens,output_tokens,total_tokens,approved_like,executability_score,safety_score,constraint_alignment_score,evidence_grounding_score,total_score,rule_total_score,score_backend,llm_judge_enabled,llm_judge_success,llm_judge_weight,llm_judge_model,llm_executability_score,llm_safety_score,llm_compliance_score,llm_overall_score,llm_judge_reason,llm_judge_error,constraint_coverage,critical_miss_rate,has_forbidden_action,critical_action_missed,missing_actions_count,violated_constraints_count,evidence_hit_count,notes
R20260413001939,2026-04-13T00:19:39,S001,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,15121,0,0,0,1,0.8,0.9,0.9,0.7,0.91,0.85,llm,1,1,0.5,xopdeepseekv32,0.95,0.9,0.98,0.91,策略步骤清晰具体，覆盖应急响应全流程，可执行性强。风险控制全面，考虑了二次事故、火灾、伤员救治和环境监测。与相关法律法规和应急预案高度一致。,,0.9,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S002,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,17210,0,0,0,1,0.8,0.9,0.9,0.7,0.92,0.85,llm,1,1,0.5,xopdeepseekv32,0.95,0.88,0.98,0.92,步骤完整且可操作性强，覆盖了管制、救援、泄漏处理、通风、环保等关键环节。对可燃蒸汽和通风系统失效的风险控制措施明确。严格遵循了相关法律法规和应急预案。,,0.9,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S003,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,19356,0,0,0,1,0.9,0.95,0.9,0.8,0.8,0.88,llm,1,1,0.5,xopdeepseekv32,0.8,0.7,0.9,0.8,方案步骤完整清晰，职责分工明确，符合法规。但对悬空客车的稳定、转移顺序及恶劣天气下的救援安全考虑可更具体，存在一定安全风险。,,0.9,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S004,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14855,0,0,0,1,0.9,0.9,1.0,0.8,0.95,0.9,llm,1,1,0.5,xopdeepseekv32,0.95,0.92,0.97,0.95,策略步骤清晰具体，覆盖预警、管制、救援、排水、防护、交通调整和恢复全过程，可执行性强。安全措施考虑全面，包括防止二次事故和次生灾害。符合相关法律法规和应急管理要求。,,1.0,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S005,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,13521,0,0,0,1,0.9,0.9,0.9,0.8,0.85,0.88,llm,1,1,0.5,xopdeepseekv32,0.85,0.8,0.95,0.85,方案步骤具体，职责明确，可执行性强。考虑了伤员救治、驾驶员转移和现场风险控制，但清理大型建材可能产生新的风险未详细说明。预案启动及各步骤均符合相关法律法规和应急预案要求。,,0.9,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S006,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,18263,0,0,0,1,0.8,0.9,0.8,0.7,0.9,0.8,llm,1,1,0.5,xopdeepseekv32,0.9,0.85,0.95,0.9,步骤清晰完整，职责明确，覆盖主要处置环节；充分考虑了危化品泄漏、火灾、能见度低和二次爆燃风险，并设有评估与监测环节；符合所列法律法规和应急预案要求，流程规范。,,0.8,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S007,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14872,0,0,0,1,0.9,0.95,0.9,0.8,0.93,0.88,llm,1,1,0.5,xopdeepseekv32,0.95,0.9,0.95,0.93,方案步骤具体、逻辑完整，可操作性强，考虑了现场风险控制并引用了相关法规，无明显新增风险。,,0.9,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S008,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,13809,0,0,0,1,0.8,0.9,0.7,0.8,0.92,0.8,llm,1,1,0.5,xopdeepseekv32,0.9,0.9,0.95,0.92,方案步骤清晰完整，分工明确，可执行性强。全面考虑了现场安全、伤员救治、交通疏导和事后处置，符合交通安全法律法规及应急管理要求。,,0.7,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S009,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14728,0,0,0,1,0.8,0.9,0.8,0.7,0.88,0.8,llm,1,1,0.5,xopdeepseekv32,0.9,0.8,0.95,0.88,方案步骤清晰完整，具有可操作性；考虑了救援风险和二次灾害监测，但“提供必要的生存指导”等细节可更具体；完全符合相关法规和预案要求。,,0.8,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S010,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,13150,0,0,0,1,0.8,0.9,0.9,0.7,0.92,0.85,llm,1,1,0.5,xopdeepseekv32,0.9,0.85,1.0,0.92,方案步骤清晰、完整、可操作，覆盖从启动预案到恢复秩序的应急全流程。重点风险如加油站、围观人群均得到控制，并强调了断电等安全措施。所有行动均符合相关法律法规和应急预案要求。,,0.9,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S011,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14652,0,0,0,1,0.7,0.8,0.8,0.7,0.9,0.75,llm,1,1,0.5,xopdeepseekv32,0.95,0.85,1.0,0.9,方案步骤完整、可操作，覆盖了交通管制、泄漏控制、人员疏散、医疗救治、环境监测、事故调查和恢复等关键环节。方案充分考虑了安全风险控制并引用了相关法律法规，符合应急响应预案要求。对泄漏的具体控制措施描述稍显笼统。,,0.8,0.0,0,0,1,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S012,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14112,0,0,0,1,0.8,0.9,0.7,0.8,0.87,0.8,llm,1,1,0.5,xopdeepseekv32,0.85,0.8,0.95,0.87,方案步骤具体完整，职责清晰，可操作性强。针对起火风险和伤员处理措施合理。紧密结合列举的法律法规和应急预案框架，合规性高。,,0.7,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S013,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,17348,0,0,0,1,0.8,0.9,0.7,0.8,0.9,0.8,llm,1,1,0.5,xopdeepseekv32,0.9,0.85,0.95,0.9,方案步骤详细具体，职责清晰，可执行性强。关注通风排烟、气体监测和结构安全，控制风险。全面引用相关法律法规，符合应急处理预案要求。,,0.7,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S014,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,13662,0,0,0,1,0.7,0.8,0.6,0.7,0.8,0.7,llm,1,1,0.5,xopdeepseekv32,0.85,0.7,0.9,0.8,方案步骤清晰完整，可执行性强。但风险控制考虑不足，未明确处置持续开裂与极高扩大风险的具体措施，也未充分体现各单位的协同作业。,,0.6,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S015,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14809,0,0,0,1,0.7,0.6,0.5,0.6,0.87,0.6,llm,1,1,0.5,xopdeepseekv32,0.9,0.8,0.9,0.87,方案步骤完整、具体，可执行性强，覆盖了从应急响应到事后处理的全部环节，且符合相关法律法规和预案要求。针对山区坠崖特殊场景（如救援难度大、起火）的风险控制措施可以更具体，如增加空中救援、灭火与破拆协同、防坠落措施等专门说明。,,0.5,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S016,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,19078,0,0,0,1,0.8,0.9,0.7,0.8,0.88,0.8,llm,1,1,0.5,xopdeepseekv32,0.8,0.9,0.95,0.88,方案步骤完整具体，职责明确，可执行性较强。充分考虑了泄漏、爆炸风险控制及伤员救治。高度符合相关法律法规和应急预案要求。,,0.7,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S017,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,13579,0,0,0,1,0.9,0.9,0.8,0.7,0.9,0.85,llm,1,1,0.5,xopdeepseekv32,0.9,0.85,0.95,0.9,方案步骤完整、顺序合理，覆盖管制、救援、清理、调查全流程，可执行性强。充分考虑了侧翻、散落物及桥梁结构等风险，明确责任部门，符合相关法律法规和应急预案。,,0.8,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S018,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14304,0,0,0,1,0.85,0.9,0.8,0.7,0.8,0.82,llm,1,1,0.5,xopdeepseekv32,0.8,0.7,0.9,0.8,方案步骤清晰、职责明确，联动单位指令具体。步骤6“进行固定”操作可执行性需加强。兼顾了搜救、防沉、防污等主要风险，符合交通、环保等法规预案要求。,,0.8,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S019,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14295,0,0,0,1,0.8,0.9,0.8,0.7,0.83,0.8,llm,1,1,0.5,xopdeepseekv32,0.85,0.7,0.95,0.83,方案流程完整、职责清晰、符合规范。但针对现场混乱恐慌易引发踩踏的核心风险，缺乏专门疏导、隔离人流的明确指令，风险控制不够充分。,,0.8,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S020,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14542,0,0,0,1,0.8,0.9,0.7,0.6,0.9,0.75,llm,1,1,0.5,xopdeepseekv32,0.9,0.8,1.0,0.9,方案步骤具体、完整，覆盖了从启动预案、现场处置到善后的全过程，无口号式表述，可执行性强。充分考虑了救援、交通管制和人群疏散等安全风险，且完全符合相关法律法规与应急预案要求。,,0.7,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S021,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,17306,0,0,0,1,0.7,0.8,0.6,0.7,0.95,0.7,llm,1,1,0.5,xopdeepseekv32,0.95,0.9,1.0,0.95,方案步骤完整、具体、可操作性强，直接针对事故风险（能见度、缺水、中暑）部署了警戒、补水、医疗和现场防护措施，严格遵守法律法规和预案要求，体现了系统性应急响应。,,0.6,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S022,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,13402,0,0,0,1,0.8,0.9,0.7,0.8,0.9,0.8,llm,1,1,0.5,xopdeepseekv32,0.9,0.85,0.95,0.9,方案步骤清晰、完整、可执行，响应流程符合应急预案要求，但对二次翻滚风险仅提及评估和加固，具体措施略为宽泛。,,0.7,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S023,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,16997,0,0,0,1,0.7,0.8,0.6,0.7,0.8,0.7,llm,1,1,0.5,xopdeepseekv32,0.75,0.8,0.85,0.8,方案步骤完整，职责分工明确，针对泄漏、疏散、转移和恢复等关键环节均有部署，符合应急原则与法规。但部分措施执行顺序（如先评估后封堵、疏散与监测等）可进一步优化，未明确提及核心风险源（泄漏阀门）的具体封堵或转移操作细节。,,0.6,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S024,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14388,0,0,0,1,0.8,0.9,0.8,0.7,0.9,0.8,llm,1,1,0.5,xopdeepseekv32,0.85,0.9,0.95,0.9,方案步骤详细具体，覆盖伤员救治、现场控制、疏导、调查和预防措施，可执行性强。全面考虑了安全风险，如防止二次事故。法律引用恰当，符合相关应急程序。,,0.8,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S025,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,18063,0,0,0,1,0.8,0.9,0.7,0.6,0.9,0.75,llm,1,1,0.5,xopdeepseekv32,0.95,0.9,1.0,0.9,方案步骤清晰、职责分明、可操作性强，完整覆盖现场管控、人员救援、财产保护和事后评估。充分考虑潮水风险并控制衍生风险。明确启动应急预案，符合相关法律法规。,,0.7,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S026,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,14326,0,0,0,1,0.8,0.9,0.8,0.7,0.9,0.8,llm,1,1,0.5,xopdeepseekv32,0.9,0.8,1.0,0.9,方案步骤清晰完整，职责明确，可执行性强。充分考虑了人员救援与现场安全，但针对大雾环境下后续车辆连环碰撞风险的具体缓堵和预警措施可进一步加强。完全符合相关法律法规和应急预案要求。,,0.8,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S027,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,20295,0,0,0,1,0.8,0.9,0.7,0.8,0.9,0.8,llm,1,1,0.5,xopdeepseekv32,0.9,0.85,0.95,0.9,方案步骤具体，职责分工明确，可执行性强。但部分措施如“防止污染环境”和“确保交通安全”较为原则性，可操作性可进一步提升。整体符合相关法律法规和预案要求。,,0.7,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S028,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,21541,0,0,0,1,0.6,0.7,0.5,0.6,0.9,0.6,llm,1,1,0.5,xopdeepseekv32,0.9,0.85,0.95,0.9,步骤完整明确，可执行性强，覆盖了救援、管制、灭火、疏散、监测、恢复等关键环节。风险考虑较充分，重点提及配电房和烟雾风险。方案严格遵守相关法律法规与应急预案流程。,,0.5,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S029,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,23468,0,0,0,1,0.8,0.9,0.9,0.7,0.9,0.85,llm,1,1,0.5,xopdeepseekv32,0.9,0.8,1.0,0.9,方案步骤清晰完整，可执行性强，严格遵循相关法律法规和应急预案。对起火、二次事故等主要风险有管控，但对暴雨、渗水环境下的具体安全措施（如防滑、排水）及隧道内尾气中毒风险针对性控制稍显不足。,,0.9,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S030,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,21452,0,0,0,1,0.9,0.9,0.9,0.8,0.9,0.88,llm,1,1,0.5,xopdeepseekv32,0.9,0.9,0.9,0.9,方案步骤具体完整，行动逻辑清晰，涵盖现场管控、人员救护、除冰作业、游客安抚及后期调查等关键环节，充分考虑了伤员、滞留者安全及次生灾害预防，并明确依据多项应急预案和法律法规。,,0.9,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S031,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,21608,0,0,0,1,0.85,0.9,0.8,0.7,0.9,0.82,llm,1,1,0.5,xopdeepseekv32,0.9,0.85,0.95,0.9,方案步骤明确、完整，符合I级应急响应流程，涵盖现场控制、救援、通讯、监测、灾后处置等关键环节。强调多部门协同与安全优先，引用相关法律，合规性强。对洪水上涨等动态风险有持续应对措施。,,0.8,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S032,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,17709,0,0,0,1,0.6,0.7,0.4,0.6,0.9,0.6,llm,1,1,0.5,xopdeepseekv32,0.9,0.8,1.0,0.9,方案步骤清晰完整，行动主体明确，可执行性强。控制现场风险，救援流程及时。完全符合相关法律法规和应急预案要求。,,0.4,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S033,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,25571,0,0,0,1,0.7,0.8,0.6,0.7,0.9,0.7,llm,1,1,0.5,xopdeepseekv32,0.9,0.85,0.95,0.9,方案步骤清晰完整，针对事故、伤员、拥堵、围观等风险点均有明确控制措施。整体符合法律法规与应急预案要求，可执行性强。,,0.6,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260413001939,2026-04-13T00:19:39,S034,single_none_full,none,none,single,single_agent,single_agent,unknown,1.0,0,0,0,0,gemma-3-27b-it,22902,0,0,0,1,0.9,0.9,0.8,0.7,0.9,0.85,llm,1,1,0.5,xopdeepseekv32,0.9,0.8,1.0,0.9,方案步骤清晰完整，可执行性强；重视伤员救治与落石监测，但指导工程车移动步骤在有持续落石情况下存在新风险；严格遵守相关法规预案。,,0.8,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
